Country,Clicks,Impressions,CTR,Position
United States,0,240,0%,26.76
Canada,0,17,0%,14.94
Brazil,0,8,0%,7.12
United Kingdom,0,6,0%,53.67
Trinidad & Tobago,0,2,0%,3.5
Germany,0,2,0%,4
Mexico,0,2,0%,5.5
India,0,2,0%,6.5
Argentina,0,2,0%,7
France,0,2,0%,8.5
Hong Kong,0,2,0%,10
Malawi,0,2,0%,24.5
Vietnam,0,2,0%,50
Morocco,0,1,0%,5
Philippines,0,1,0%,5
Bolivia,0,1,0%,7
United Arab Emirates,0,1,0%,8
Bangladesh,0,1,0%,9
Malaysia,0,1,0%,9
Bahamas,0,1,0%,10
Austria,0,1,0%,15
Ireland,0,1,0%,31
Moldova,0,1,0%,40
Qatar,0,1,0%,50
Hungary,0,1,0%,59
Macedonia,0,1,0%,72
Japan,0,1,0%,77
